Job Number,License Number,Business Name,Street Address,Licensee,Licensee Name,City,State,County,Zip,Type,Accepted Date
"407152","","LA SOLANA CONDOMINIUMS - CLUBHOUSE","14950 W MOUNTAIN VIEW  BOULEVARD ","","","SURPRISE","Arizona","","85374","","2026-07-28T00:00:00"
"407104","","CURRIES INDIAN CUISINE AND BAR","10885 N FRANK LLOYD WRIGHT BOULEVARD ","","","SCOTTSDALE","Arizona","","85259","","2026-07-28T00:00:00"
"407082","","GOLD DIGGER SALOON","6116 SILVER CREEK ROAD ","","","OATMAN","Arizona","","86433","","2026-07-27T17:30:28"
"407059","","TURNEY NEIGHBORHOOD MARKET","710 E TURNEY Avenue ","","","PHOENIX","Arizona","","85014","","2026-07-27T13:49:29"
"406770","","ACE OF WINGZ","13875 N 83RD AVENUE ","","","PEORIA","Arizona","","85381","","2026-07-27T11:40:17"
"407012","","MINUTE LIQUOR STORE","2355 S 16TH Street ","","","PHOENIX","Arizona","","85034","","2026-07-27T00:00:00"
"407016","","THE SOUTH 40","40 AVENIDA GOYA ","","","TUBAC","Arizona","","85646","","2026-07-27T00:00:00"
"406879","","PHAT OX","4220 S 16TH STREET ","","","PHOENIX","Arizona","","85040","","2026-07-24T00:00:00"
"406898","07070332","GRAND CANYON ARENA","3300 W CAMELBACK ROAD ","ARAMARK EDUCATIONAL SERVICES, LLC","","PHOENIX","Arizona","Maricopa","85017","Beer and Wine Bar","2026-07-24T00:00:00"
"406762","","SIP COFFEE & BEER GARAGE/36 BELOW","3620 E INDIAN SCHOOL Road ","","","PHOENIX","Arizona","","85018","","2026-07-23T08:15:52"
"400715","","DOUBLE TREE BY HILTON TUCSON AT REID PARK","445 S ALVERNON WAY ","","","TUCSON","Arizona","","85711","","2026-07-22T20:16:02"
"405980","","SHIMA SUSHI","1902 E BASELINE ROAD #5","","","MESA","Arizona","","85204","","2026-07-22T12:20:39"
"406672","","SPRINGFIELD COMMUNITY ASSOCIATION","6495 S ST ANDREWS BOULEVARD ","","","CHANDLER","Arizona","","85249","","2026-07-22T08:49:18"
"406716","","BAD MIGUELS","1841 N KIOWA Avenue #C103","","","LAKE HAVASU CITY","Arizona","","86403","","2026-07-22T00:00:00"
"406653","","FA-ME CAFE ","2375 E CAMELBACK ROAD STE 115","","","PHOENIX","Arizona","","85016","","2026-07-21T16:40:15"
"400322","","SOCIAL TAP CHANDLER","135 W OCOTILLO Road ","","","CHANDLER","Arizona","","85248","","2026-07-21T15:16:17"
"406639","","BLUE DRAGON SMOKE & VAPE","430 N DOBSON ROAD #100 & 101","","","MESA","Arizona","","85201","","2026-07-21T14:58:38"
"406567","","RACHEL'S YOUNG AT ART STUDIO","7366 E SHEA Boulevard #112","","","SCOTTSDALE","Arizona","","85260","","2026-07-21T11:19:46"
"406605","09073626","PRIME LIQUOR","2044 E SOUTHERN Avenue ","PRIME LIQUOR LLC","","TEMPE","Arizona","Maricopa","85282","Liquor Store","2026-07-21T00:00:00"
"406735","","VOGANS SALOON LLC","437 E ALLEN  STREET ","","","TOMBSTONE","Arizona","","85638","","2026-07-21T00:00:00"
"406715","","CAMP RIFF","1794 W NEWELL STREET ","","","NACO","Arizona","","85620","","2026-07-21T00:00:00"
"406658","06100109","FROG & FIRKIN","874 E UNIVERSITY Boulevard ","RAETZ ENTERPRISES INC","","TUCSON","Arizona","Pima","85719","Bar","2026-07-21T00:00:00"
"406631","09116000","GOLD CANYON LIQUOR","6517 S KINGS RANCH Road ","GOLDFIELD LIQUOR LLC ","","GOLD CANYON","Arizona","Pinal","85118","Liquor Store","2026-07-21T00:00:00"
"406572","06070127","EMERSA","1503 N VERRADO WAY #101","SHIFT CHANGE LLC","","BUCKEYE","Arizona","Maricopa","85326","Bar","2026-07-21T00:00:00"
"406492","","ALL IN SPORTS BAR & GRILL","5350  W BELL  ROAD #123","","","GLENDALE ","Arizona","","85308","","2026-07-20T00:00:00"
"406478","","OX KOREAN BBQ ","1622 S STAPLEY Drive ","","","MESA","Arizona","","85204","","2026-07-20T00:00:00"
"404554","","ROXY'S BEACH BAR & CAFE ","1440 MCCULLOCH BOULEVARD N #301","","","LAKE HAVASU CITY","Arizona","","86403","","2026-07-16T17:50:57"
"406303","","BODEGA 23 PADEL CLUB","233 N AVENUE E ","","","SAN LUIS","Arizona","","85336","","2026-07-16T15:03:18"
"403286","","TACOS TIJUANA","3000 E RAY ROAD #105","","","GILBERT","Arizona","","85296","","2026-07-16T09:29:36"
"406315","","TACOS Y MARISCOS LA INDIA ","879 EAST B  STREET ","","","SAN LUIS","Arizona","","85336","","2026-07-16T00:00:00"
"406265","","MJ MINI MART ","1201 W HATCHER ROAD ","","","PHOENIX","Arizona","","85021","","2026-07-16T00:00:00"
"406358","","THE DASH","9619 N HAYDEN ROAD A101-102","","","SCOTTSDALE","Arizona","","85258","","2026-07-16T00:00:00"
"406216","","FEDERICO'S MEXICAN FOOD","2455 N PEBBLE CREEK PARKWAY ","","","GOODYEAR","Arizona","","85395","","2026-07-15T00:00:00"
"406253","06100252","CHICAGO BAR","5954 E SPEEDWAY Boulevard ","BUSINESS MONKEY LLC","","TUCSON","Arizona","Pima","85712","Bar","2026-07-15T00:00:00"
"406087","","LOLA","9375 W COYOTES BOULEVARD ","","","GLENDALE","Arizona","","85305","","2026-07-14T17:57:23"
"406056","","BLUE ZEBRA LOUNGE","322 E CAMELBACK ROAD ","","","PHOENIX","Arizona","","85012","","2026-07-14T15:20:14"
"406200","","APSARA ASIAN RESTAURANT","10555 W  INDIAN SCHOOL ROAD STE D101-102","","","AVONDALE","Arizona","","85392","","2026-07-14T00:00:00"
"405708","","ALLSUP'S #102511","420 EAST 16TH STREET ","","","DOUGLAS ","Arizona","","85607","","2026-07-13T16:47:46"
"402897","","THE CARRICK HOTEL","39 HOWELL AVENUE ","","","BISBEE","Arizona","","85603","","2026-07-13T12:43:28"
"405588","","THREE THIRTY THREE RESTAURANT","430 N SCOTTSDALE  ROAD #101","","","TEMPE","Arizona","","85281","","2026-07-13T08:04:08"
"405930","06070316","KILKENNY'S IRISH PUB","20736 E MUNOZ STREET #101","KILKENNY'S IRISH PUB LLC","","QUEEN CREEK","Arizona","Maricopa","85142","Bar","2026-07-13T00:00:00"
"401958","06070626","GRADUATE HOTEL","225 E APACHE Boulevard ","GR TEMPE HOTELS LLC","","TEMPE","Arizona","Maricopa","85281","Bar","2026-07-13T00:00:00"
"405792","09100197","GRAB N GO PIMA","4477 E 5TH Street ","GRAB N GO PIMA LIQUOR LLC","","TUCSON","Arizona","Pima","85711","Liquor Store","2026-07-10T00:00:00"
"404681","","VERDE SANTA FE COMMUNITY CLUBHOUSE ","635 S VERDE SANTA FE PARKWAY ","","","CORNVILLE","Arizona","","86325","","2026-07-09T12:53:50"
"405693","","BELL ROAD FOOD MART","1602 E BELL ROAD ","","","PHOENIX","Arizona","","85022","","2026-07-09T12:15:40"
